what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1320826453751
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320826454593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320826455108
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320826455264
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320826467947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320826469851
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320826479274
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320826482940
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320826488696
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320826489726
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320826510303
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320826510615
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320826594340
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320826596587
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320826598942
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320826618131
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320826793305
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320826795068
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320826796894
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ResourceNavigator",1320826799265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320826801371
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1320826806722
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1320826806831
